,0,1,2,3,4
199,"('00', '00')",_2,-10,"('02', '00')",False
200,"('22', '22')",0_,-2,"('02', '22')",False
201,"('02', '22')",_0,5,"('00', '02')",False
202,"('00', '02')",_0,-2,"('00', '00')",False
203,"('00', '00')",_1,-10,"('01', '00')",False
204,"('01', '00')",_1,-2,"('01', '01')",False
205,"('01', '01')",_1,-2,"('01', '01')",False
206,"('01', '01')",_0,10,"('00', '01')",False
207,"('00', '01')",0_,-2,"('00', '00')",False
208,"('00', '00')",_0,-2,"('00', '00')",False
209,"('00', '00')",0_,-2,"('00', '00')",False
210,"('00', '00')",_0,-2,"('00', '00')",False
211,"('00', '00')",_0,-2,"('00', '00')",False
212,"('00', '00')",_0,-2,"('00', '00')",False
213,"('00', '00')",_0,-2,"('00', '00')",False
214,"('00', '00')",_0,-2,"('00', '00')",False
215,"('00', '00')",2_,-2,"('20', '00')",False
216,"('20', '00')",_1,-2,"('21', '20')",False
217,"('21', '20')",0_,-2,"('01', '21')",False
218,"('01', '21')",_0,10,"('00', '01')",False
219,"('00', '01')",_1,-10,"('01', '00')",False
220,"('12', '22')",_0,-2,"('10', '12')",False
221,"('10', '12')",_1,-2,"('11', '10')",False
222,"('11', '10')",1_,-2,"('11', '11')",False
223,"('11', '11')",_1,-2,"('11', '11')",False
224,"('11', '11')",0_,-5,"('01', '11')",False
225,"('01', '11')",_1,-2,"('01', '01')",False
226,"('01', '01')",1_,5,"('11', '01')",False
227,"('11', '01')",0_,-2,"('01', '11')",False
228,"('01', '11')",_2,-10,"('02', '01')",False
229,"('02', '01')",_0,10,"('00', '02')",False
230,"('00', '02')",_0,-2,"('00', '00')",False
231,"('00', '00')",0_,-2,"('00', '00')",False
232,"('00', '00')",_0,-2,"('00', '00')",False
233,"('00', '00')",_2,-10,"('02', '00')",False
234,"('02', '00')",_0,10,"('00', '02')",False
235,"('00', '02')",_0,-2,"('00', '00')",False
236,"('00', '00')",_2,-10,"('02', '00')",False
237,"('02', '00')",2_,-2,"('22', '02')",False
238,"('22', '02')",2_,-2,"('22', '22')",False
239,"('22', '22')",0_,5,"('02', '22')",False
240,"('00', '00')",_0,-2,"('00', '00')",False
241,"('00', '00')",_0,-2,"('00', '00')",False
242,"('00', '00')",_0,-2,"('00', '00')",False
243,"('00', '00')",0_,-2,"('00', '00')",False
244,"('00', '00')",_0,-2,"('00', '00')",False
245,"('00', '00')",_0,-2,"('00', '00')",False
246,"('00', '00')",_0,-2,"('00', '00')",False
247,"('00', '00')",_0,-2,"('00', '00')",False
248,"('00', '00')",_2,-10,"('02', '00')",False
249,"('02', '00')",_0,10,"('00', '02')",False
250,"('00', '02')",_0,-2,"('00', '00')",False
251,"('00', '00')",1_,-2,"('10', '00')",False
252,"('10', '00')",_0,-2,"('10', '10')",False
253,"('10', '10')",2_,-2,"('20', '10')",False
254,"('20', '10')",0_,-2,"('00', '20')",False
255,"('00', '20')",2_,-2,"('20', '00')",False
256,"('20', '00')",0_,-2,"('00', '20')",False
257,"('00', '20')",_2,-10,"('02', '00')",False
258,"('02', '00')",_0,10,"('00', '02')",False
259,"('00', '02')",1_,-2,"('10', '00')",False
260,"('11', '01')",2_,-2,"('21', '11')",False
261,"('21', '11')",0_,-2,"('01', '21')",False
262,"('01', '21')",_0,10,"('00', '01')",False
263,"('00', '01')",2_,-2,"('20', '00')",False
264,"('20', '00')",0_,-2,"('00', '20')",False
265,"('00', '20')",1_,-2,"('10', '00')",False
266,"('10', '00')",1_,-2,"('10', '10')",False
267,"('10', '10')",0_,-2,"('00', '10')",False
268,"('00', '10')",_0,-2,"('00', '00')",False
269,"('00', '00')",2_,-2,"('20', '00')",False
270,"('20', '00')",_0,-2,"('20', '20')",False
271,"('20', '20')",_2,-2,"('22', '20')",False
272,"('22', '20')",0_,-2,"('02', '22')",False
273,"('02', '22')",_1,-2,"('01', '02')",False
274,"('01', '02')",_0,10,"('00', '01')",False
275,"('00', '01')",2_,-2,"('20', '00')",False
276,"('20', '00')",0_,-2,"('00', '20')",False
277,"('00', '20')",1_,-2,"('10', '00')",False
278,"('10', '00')",_0,-2,"('10', '10')",False
279,"('10', '10')",_1,-2,"('11', '10')",False
280,"('01', '00')",_0,10,"('00', '01')",True
281,"('22', '12')",0_,-2,"('02', '22')",False
282,"('02', '22')",_2,-2,"('02', '02')",False
283,"('02', '02')",_0,10,"('00', '02')",False
284,"('00', '02')",_2,-10,"('02', '00')",False
285,"('02', '00')",_0,10,"('00', '02')",False
286,"('00', '02')",_0,-2,"('00', '00')",False
287,"('00', '00')",_2,-10,"('02', '00')",False
288,"('02', '00')",_2,-2,"('02', '02')",False
289,"('02', '02')",_0,10,"('00', '02')",False
290,"('00', '02')",_0,-2,"('00', '00')",False
291,"('00', '00')",2_,-2,"('20', '00')",False
292,"('20', '00')",_0,-2,"('20', '20')",False
293,"('20', '20')",0_,-2,"('00', '20')",False
294,"('00', '20')",_0,-2,"('00', '00')",False
295,"('00', '00')",_1,-10,"('01', '00')",False
296,"('01', '00')",_0,10,"('00', '01')",False
297,"('00', '01')",1_,-2,"('10', '00')",False
298,"('10', '00')",_1,-2,"('11', '10')",False
299,"('11', '10')",0_,-2,"('01', '11')",False
300,"('01', '11')",1_,-2,"('11', '01')",False
301,"('21', '01')",0_,-2,"('01', '21')",False
302,"('01', '21')",_0,10,"('00', '01')",False
303,"('00', '01')",1_,-2,"('10', '00')",False
