,0,1,2,3,4
211,"('10', '11')",_0,-2,"('10', '10')",False
212,"('10', '10')",_0,-2,"('10', '10')",False
213,"('10', '10')",_0,-2,"('10', '10')",False
214,"('10', '10')",_0,-2,"('10', '10')",False
215,"('10', '10')",_0,-2,"('10', '10')",False
216,"('10', '10')",_0,-2,"('10', '10')",False
217,"('10', '10')",_0,-2,"('10', '10')",False
218,"('10', '10')",_2,-2,"('12', '10')",False
219,"('12', '10')",1_,-2,"('12', '12')",False
220,"('22', '22')",1_,-2,"('12', '22')",False
221,"('12', '22')",_0,-2,"('10', '12')",False
222,"('10', '12')",_0,-2,"('10', '10')",False
223,"('10', '10')",_0,-2,"('10', '10')",False
224,"('10', '10')",_0,-2,"('10', '10')",False
225,"('10', '10')",_0,-2,"('10', '10')",False
226,"('10', '10')",_0,-2,"('10', '10')",False
227,"('10', '10')",_1,-2,"('11', '10')",False
228,"('11', '10')",_0,-2,"('10', '11')",False
229,"('10', '11')",_0,-2,"('10', '10')",False
230,"('10', '10')",_1,-2,"('11', '10')",False
231,"('11', '10')",_0,-2,"('10', '11')",False
232,"('10', '11')",2_,-2,"('20', '10')",False
233,"('20', '10')",1_,-2,"('10', '20')",False
234,"('10', '20')",_0,-2,"('10', '10')",False
235,"('10', '10')",_0,-2,"('10', '10')",False
236,"('10', '10')",_2,-2,"('12', '10')",False
237,"('12', '10')",1_,-2,"('12', '12')",False
238,"('12', '12')",0_,-2,"('02', '12')",False
239,"('02', '12')",1_,-2,"('12', '02')",False
240,"('20', '00')",_2,-2,"('22', '20')",False
241,"('22', '20')",_2,-2,"('22', '22')",False
242,"('22', '22')",2_,-2,"('22', '22')",False
243,"('22', '22')",2_,-2,"('22', '22')",False
244,"('22', '22')",2_,-2,"('22', '22')",False
245,"('22', '22')",2_,-2,"('22', '22')",False
246,"('22', '22')",1_,-2,"('12', '22')",False
247,"('12', '22')",_0,-2,"('10', '12')",False
248,"('10', '12')",_0,-2,"('10', '10')",False
249,"('10', '10')",_0,-2,"('10', '10')",False
250,"('10', '10')",1_,-2,"('10', '10')",False
251,"('10', '10')",_0,-2,"('10', '10')",False
252,"('10', '10')",1_,-2,"('10', '10')",False
253,"('10', '10')",_1,-2,"('11', '10')",False
254,"('11', '10')",0_,-2,"('01', '11')",False
255,"('01', '11')",0_,-2,"('01', '01')",False
256,"('01', '01')",1_,-2,"('11', '01')",False
257,"('11', '01')",_0,-2,"('10', '11')",False
258,"('10', '11')",_2,-2,"('12', '10')",False
259,"('12', '10')",2_,-2,"('22', '12')",False
260,"('12', '22')",2_,-2,"('22', '12')",False
261,"('22', '12')",2_,-2,"('22', '22')",False
262,"('22', '22')",2_,-2,"('22', '22')",False
263,"('22', '22')",2_,-2,"('22', '22')",False
264,"('22', '22')",2_,-2,"('22', '22')",False
265,"('22', '22')",2_,-2,"('22', '22')",False
266,"('22', '22')",_2,-2,"('22', '22')",False
267,"('22', '22')",2_,-2,"('22', '22')",False
268,"('22', '22')",_2,-2,"('22', '22')",False
269,"('22', '22')",2_,-2,"('22', '22')",False
